ENG_utterances,HIN_utterances,politeness,sentiment
Perfect! Thanks a ton Muthu! Just give me a moment I'll go ahead and check your seat and let you know., उत्तम! धन्यवाद एक टन मुथु! बस मुझे एक क्षण दें मैं आगे जाकर आपकी सीट की जाँच करूँगा और आपको बता दूँगा।,3,2
NOTHING ELSE SIR...THANK YOU, और कुछ नहीं सर...धन्यवाद,3,2
Okay, ठीक,2,2
suhas kooi and fgjfjfgjf@gmail.com, सुहास कूई और fgjfjfgjf@gmail.com,2,0
BOSS, रोब जमाना,0,0
can i get my boarding pass to my mail?, क्या मुझे अपना बोर्डिंग पास मेरे मेल पर मिल सकता है?,0,0
"Thank you for visiting us, wish to serve you again. Have a nice time!"," हमारे पास आने के लिए धन्यवाद, मैं फिर से आपकी सेवा करना चाहता हूं। आशा है आपका समय अच्छा बीते!",3,2
Its okay., ठीक है।,2,2
"Hey there, Good morning! You'v reached Jet fly customer service! You're connected to Sam! I'd be glad to assist you today!"," अरे वहाँ, सुप्रभात! आप जेट फ्लाई ग्राहक सेवा तक पहुँच चुके हैं! आप सैम से जुड़े हुए हैं! मुझे आज आपकी सहायता करने में खुशी होगी!",3,2
"Thank you for staying connected, the boarding pass will be sent to the email address or phone number shortly. "," जुड़े रहने के लिए धन्यवाद, बोर्डिंग पास शीघ्र ही ईमेल पते या फोन नंबर पर भेज दिया जाएगा।",3,0
Good morning! You've reached Flamingo customers service. How may I help you today?, सुबह बख़ैर! आप फ्लेमिंगो ग्राहक सेवा तक पहुँच चुके हैं। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,1
"Hello there good evening! Sky high customer services, How may I help you today?"," नमस्ते वहाँ शुभ संध्या! स्काई हाई कस्टमर सर्विसेज, मैं आज आपकी कैसे मदद कर सकता हूं?",3,0
?*, ?*,0,0
thomasddd345@gmail.com, thomasddd345@gmail.com,0,0
lathakk89@gmail.com, lathakk89@gmail.com,2,0
Good bye!, अलविदा!,3,0
YES, हां,2,2
Are we connected?, क्या हम जुड़े हुए हैं?,0,0
"Perfect! Thank you for that. Could you please allow me a moment, while I get this done for you?","उत्तम! उसके लिये आपका धन्यवाद। क्या आप कृपया मुझे एक क्षण की अनुमति दे सकते हैं, जबकि मैं यह आपके लिए करवाता हूं?",3,2
That's all thank you, बस आपका धन्यवाद,3,0
"I really appreciate for staying connected. As per the booking confirmation number, your seat number is K7 Aisle. "," मैं वास्तव में जुड़े रहने के लिए सराहना करता हूं। बुकिंग कन्फर्मेशन नंबर के अनुसार, आपका सीट नंबर K7 Aisle है।",3,2
Okay, ठीक,2,2
i need to check my seat, मुझे अपनी सीट चेक करनी है,2,0
"Wonderful! Well Mr.Kumar , your booking as been confirmed and your seat number is K12 which is a window seat, Is that okay for you?"," अद्भुत! अच्छा श्री कुमार, आपकी बुकिंग की पुष्टि हो गई है और आपकी सीट संख्या K12 है जो एक विंडो सीट है, क्या यह आपके लिए ठीक है?",3,2
HI GOOD MORNING, हाय सुप्रभात,3,0
Okay, ठीक,2,2
Ok, ठीक,2,0
no thanks," जी नहीं, धन्यवाद",3,1
"Perfect! I'd like to inform you that you've been allotted 9C which is a window seat, are you okay with it? "," उत्तम! मैं आपको सूचित करना चाहता हूं कि आपको 9C आवंटित किया गया है जो एक विंडो सीट है, क्या आप इसके साथ ठीक हैं?",3,2
no bye drew, नो बाय ड्रॉ,2,0
Hey Joe! I'm so happy talking to you! :) Could you please help me with your booking confirmation number and email address?, हे जो! मैं आपसे बात करके बहुत खुश हूँ! :) क्या आप कृपया अपनी बुकिंग पुष्टिकरण संख्या और ईमेल पते में मेरी सहायता कर सकते हैं?,3,2
ok, ठीक है,2,0
I'd like to inform you that your boarding pass has been sent to ginny.ail@yahoo.com, मैं आपको सूचित करना चाहता हूं कि आपका बोर्डिंग पास ginny.ail@yahoo.com पर भेज दिया गया है,3,0
no thanks," जी नहीं, धन्यवाद",3,1
two, दो,0,0
ok i need ist class window seat, ठीक है मुझे आईएसटी क्लास विंडो सीट चाहिए,2,0
"Of course, I'll help you change your seat. Allow me for a minute or two, while check for the availability."," बेशक, मैं आपकी सीट बदलने में आपकी मदद करूंगा। उपलब्धता की जांच करते समय मुझे एक या दो मिनट के लिए अनुमति दें।",2,0
"would you prefer window seat, aisle seat or middle seat? ","क्या आप विंडो सीट, गलियारा सीट या बीच की सीट पसंद करेंगे?",3,0
"Awesome! Thanks for reaching out to us, hope you have a wonderful trip ahead. "," बहुत बढ़िया! हमसे संपर्क करने के लिए धन्यवाद, आशा है कि आपकी आगे की यात्रा शानदार रही होगी।",3,2
"Wonderful! Well Mr. Billings, your booking as been confirmed and your seat number is K12 which is a window seat."," अद्भुत! खैर श्रीमान बिलिंग्स, आपकी बुकिंग की पुष्टि हो गई है और आपकी सीट संख्या K12 है जो एक विंडो सीट है।",3,2
Awesome Killer! Could you also help me with your booking confirmation number?, बहुत बढ़िया हत्यारा! क्या आप अपनी बुकिंग पुष्टिकरण संख्या के बारे में भी मेरी मदद कर सकते हैं?,3,2
ok book it, ठीक है बुक करो,2,0
SS45F5, SS45F5,0,0
ya sure..., हाँ यकीनन...,2,0
Hey there! Good morning! I hope your having an amazing day! Welcome to Jet blue customer service! How may I help you today?, सुनो! सुबह बख़ैर! मुझे आशा है कि आपका दिन अद्भुत हो! जेट ब्लू ग्राहक सेवा में आपका स्वागत है! आज मैं आपकी कैसे मदद कर सकता हूँ?,3,2
"Sure! Will do that, please allow me a moment."," ज़रूर! वह करेंगे, कृपया मुझे एक क्षण की अनुमति दें।",3,0
"Yes, that would be great. "," हां, ये शानदार होगा।",2,2
