ENG_utterances,HIN_utterances,politeness,sentiment
Sure thing! I'd be glad to help you with that. Could you please help me with your full name and the last 4 digits of your SSN number?, अवश्य! मुझे इसमें आपकी मदद करने में खुशी होगी। क्या आप कृपया अपना पूरा नाम और अपने एसएसएन नंबर के अंतिम 4 अंकों के साथ मेरी मदद कर सकते हैं?,3,0
OK THANK YOU, ठीक है धन्यवाद,3,2
"Sure, thank you! The payment has already been initiated. You'll be receiving the check within the next three days. Would you need anything else?"," पक्का, आपका धन्यवाद! भुगतान शुरू किया जा चुका है। आपको अगले तीन दिनों के भीतर चेक मिल जाएगा। क्या आपको कुछ और चाहिए होगा?",3,2
hi, नमस्ते,2,0
my screeen fixing, मेरी स्क्रीन फिक्सिंग,1,0
"hi,good morning", हाय सुप्रभात,3,0
Hello how are you," नमस्ते, आप कैसे हैं",3,0
yes, हां,2,0
oh thank you very much., बहुत बहुत धन्यवाद।,3,2
ok thanks, ठीक है धन्यवाद,3,0
Sure thing! I'll get that done for you. Could you please help me with your full name and the last 4 digits of your SSN number?, अवश्य! मैं तुम्हारे लिए यह कर दूंगा। क्या आप कृपया अपना पूरा नाम और अपने एसएसएन नंबर के अंतिम 4 अंकों के साथ मेरी मदद कर सकते हैं?,3,0
Great! Thanks for the information. Kindly allow me a moment while I check this for you., महान! सूचना के लिए धन्यवाद। कृपया मुझे एक क्षण दें जब तक मैं आपके लिए यह जांचता हूं।,3,2
selvaselva151@gmail.com, selvaselva151@gmail.com,0,0
"I really appreciate for your patience. Good news! The replacement takes place in 1-3 business days, please ensure to send the broken device through an envelope."," मैं वास्तव में आपके धैर्य की सराहना करता हूं। खुशखबरी! प्रतिस्थापन 1-3 व्यावसायिक दिनों में होता है, कृपया एक लिफाफे के माध्यम से टूटे हुए उपकरण को भेजना सुनिश्चित करें।",3,2
"I highly appreciate your patience, I'd like to inform you that the payment has been done and the check will reach you in the next 3 business days. ","मैं आपके धैर्य की अत्यधिक सराहना करता हूं, मैं आपको सूचित करना चाहता हूं कि भुगतान हो चुका है और चेक अगले 3 व्यावसायिक दिनों में आप तक पहुंच जाएगा।",3,2
I want you to fix the broken screen of my IPhone., मैं चाहता हूं कि आप मेरे आईफोन की टूटी स्क्रीन को ठीक करें।,2,0
"Thank for being patient in sharing the information. Please allow me a minute or two, while I get this done for you?"," जानकारी साझा करने में धैर्य रखने के लिए धन्यवाद। कृपया मुझे एक या दो मिनट का समय दें, जबकि मैं यह आपके लिए कर दूं?",3,0
SUDHA, सुधा,0,0
audi 145, ऑडी 145,0,0
OK, ठीक है,2,0
8847,8847,0,0
"This is martin, miller"," यह मार्टिन है, मिलर",2,0
"Thank you! I'd also need the last 4 digits of the SSN.
", आपको धन्यवाद! मुझे एसएसएन के अंतिम 4 अंक भी चाहिए।,3,0
2016,2016,0,0
SAROJINI NAIDU, सरोजिनी नायडू,0,0
"Thank you Latha, may I know the policy number and the claim number?"," धन्यवाद लता, क्या मैं पॉलिसी नंबर और दावा संख्या जान सकती हूं?",3,0
i need a car insurance proof, मुझे कार बीमा प्रमाण चाहिए,1,0
SSN-3561, एसएसएन-3561,0,0
"Thank you for reaching out to us, hope that was helpful. Have a nice day!"," हमसे संपर्क करने के लिए धन्यवाद, आशा है कि यह मददगार था। आपका दिन शुभ हो!",3,2
"Thank you for staying connected, Your documents are ready and will be mailed to your address at the earliest."," जुड़े रहने के लिए धन्यवाद, आपके दस्तावेज़ तैयार हैं और जल्द से जल्द आपके पते पर भेज दिए जाएंगे।",3,2
"I highly appreciate your patience, I'd like to inform you that the document of the proof will be delivered to your address at the earliest."," मैं आपके धैर्य की बहुत सराहना करता हूं, मैं आपको सूचित करना चाहता हूं कि सबूत का दस्तावेज जल्द से जल्द आपके पते पर पहुंचा दिया जाएगा।",3,2
TSR940128745, टीएसआर940128745,0,0
YES, हां,2,2
YET657, YET657,0,0
No thank you, नहीं धन्यवाद,3,1
FFJ258, FFJ258,0,0
nothing eles, और कुछ नहीं,2,0
HI, नमस्ते,2,0
my iphone screen was cracked. help me to fixing the problem., मेरे iPhone की स्क्रीन टूट गई थी। समस्या को ठीक करने में मेरी मदद करें।,2,1
dfd028413809 this is policy number, dfd028413809 यह पॉलिसी नंबर है,2,0
2018,2018,0,0
I wanted to know about status of my claim, मैं अपने दावे की स्थिति के बारे में जानना चाहता था,3,0
You're welcome! Let me know if there is anything more that I may assist you with?, आपका स्वागत है! मुझे बताएं कि क्या कुछ और है जिसमें मैं आपकी सहायता कर सकता हूं?,3,2
Thank you for your information Mr. Cameron, आपकी जानकारी के लिए धन्यवाद श्री कैमरून,3,2
lpu 912547321, एलपीयू 912547321,0,0
X1, X1,0,0
"Thank you Eduardo, may I know the make and model of the car? "," धन्यवाद एडुआर्डो, क्या मैं कार का मेक और मॉडल जान सकता हूं?",3,0
"Perfect! Thank you for being patient in sharing the information, Could you please allow me a moment, while I do the needful?"," उत्तम! जानकारी साझा करने में धैर्य रखने के लिए धन्यवाद, क्या आप कृपया मुझे एक क्षण की अनुमति दे सकते हैं, जबकि मैं आवश्यक कार्य करता हूं?",3,2
FHJ561234595, FHJ561234595,0,0
4789,4789,0,0
"Appreciate your patience! Please note that the documents of proof shall reach you within 48 working hours. Pleasure helping you. You can reach us at 673-735-073 for any queries. Good day!
", अपने धैर्य की सराहना! कृपया ध्यान दें कि सबूत के दस्तावेज 48 कार्य घंटों के भीतर आप तक पहुंच जाएंगे। आपकी मदद करने में खुशी। आप किसी भी प्रश्न के लिए 673-735-073 पर हमसे संपर्क कर सकते हैं। अच्छा दिन!,3,2
"Great! Please allow me a moment to do the needed, Please stay connected."," महान! कृपया मुझे आवश्यक कार्य करने के लिए एक क्षण दें, कृपया जुड़े रहें।",3,2
kavi shri, कवि श्री,0,0
Wonderful! Thank you for reaching out to us. Have a nice day. Bye., अद्भुत! हमसे संपर्क की पहल के लिए आपका धन्यवाद। आपका दिन शुभ हो। अलविदा।,3,2
583,583,0,0
thank you so much, आपका बहुत-बहुत धन्यवाद,3,2
For sure! It's a pleasure assisting you. Have a good day ahead!,पक्का! आपकी सहायता करना खुशी की बात है। आगे एक अच्छा दिन हो!,3,2
anu, अनु,0,0
"Is there anything else I may help you out with today?
", क्या आज मैं आपकी कुछ और मदद कर सकता हूँ?,2,0
"Alright! I've contacted the concerned team, they'll mail you the copy of your car insurance proof on the registered address. you'll receive it within 2 business days. however, if you fail to receive it, reach out to us immediately we are available here 24*7. "," ठीक है! मैंने संबंधित टीम से संपर्क किया है, वे आपको पंजीकृत पते पर आपके कार बीमा प्रमाण की प्रति मेल करेंगे। आप इसे 2 व्यावसायिक दिनों के भीतर प्राप्त कर लेंगे। हालांकि, अगर आप इसे प्राप्त करने में विफल रहते हैं, तो तुरंत हमसे संपर्क करें हम यहां 24*7 उपलब्ध हैं।",2,2
Sorry to hear that. I'll surely help you with that. Could you please help me with your full name?, ऐसा सुनने के लिए क्षमा करें। मैं इसमें आपकी जरूर मदद करूंगा। क्या आप कृपया अपने पूरे नाम के साथ मेरी मदद कर सकते हैं?,3,0
ANAND, आनन्द,0,0
Could you also help me out with the year the car was made?, क्या आप मुझे यह बताने में भी मदद कर सकते हैं कि कार किस वर्ष बनी थी?,3,0
"Thank you for staying connected with patience. Good news, as I can see here that the payment as already initiated and the amount will be credited in your account within 3 business days. However, if you don't received the amount, kindly fell free to get back to us."," धैर्य से जुड़े रहने के लिए धन्यवाद। खुशखबरी, जैसा कि मैं यहां देख सकता हूं कि भुगतान पहले ही शुरू हो चुका है और राशि 3 व्यावसायिक दिनों के भीतर आपके खाते में जमा कर दी जाएगी। हालांकि, अगर आपको राशि प्राप्त नहीं हुई है, तो कृपया हमसे संपर्क करने के लिए स्वतंत्र हो जाएं।",3,2
OK THNKS, ठीक है धन्यवाद,2,0
Great! Could you help me with the make and model of the car?, महान! क्या आप कार के मेक और मॉडल में मेरी मदद कर सकते हैं?,3,2
Surely! I'd be glad to help you with that. Could you please help me with your full name and the last 4 digits of your SSN number?,निश्चित रूप से! मुझे इसमें आपकी मदद करने में खुशी होगी। क्या आप कृपया अपना पूरा नाम और अपने एसएसएन नंबर के अंतिम 4 अंकों के साथ मेरी मदद कर सकते हैं?,3,0
NO THANK BYEE, नो थैंक्स बाय,3,1
"Perfect! Thank you for sharing the information, Could you please allow me a moment, I'll get back to you with the solution?"," उत्तम! जानकारी साझा करने के लिए धन्यवाद, क्या आप कृपया मुझे एक क्षण की अनुमति दे सकते हैं, मैं समाधान के साथ आपके पास वापस आऊंगा?",3,2
"Sure, thank you! Could you please help me with the car's make and model?"," पक्का, आपका धन्यवाद! क्या आप कृपया कार के मेक और मॉडल में मेरी मदद कर सकते हैं?",3,0
Yes sure! my name is blessy mathew, हाँ यकीनन! मेरा नाम ब्लैसी मैथ्यू है,2,0
"Hello there, Good morning! How may I help you today?"," नमस्ते वहाँ, सुप्रभात! आज मैं आपकी कैसे मदद कर सकता हूँ?",3,0
Perfect! Thanks a ton for being patient and cooperating with us! It was pleasure assisting you. I hope you've an amazing day ahead! Goodbye., उत्तम! धैर्य रखने और हमारे साथ सहयोग करने के लिए बहुत-बहुत धन्यवाद! आपकी सहायता करके खुशी हुई। मुझे आशा है कि आपके पास एक अद्भुत दिन है! अलविदा।,3,2
Hello there! Could you please elaborate your query?, नमस्ते! क्या आप कृपया अपनी क्वेरी विस्तृत कर सकते हैं?,3,0
Sure. I'll definitely help you with that. Could you please help me with your name and the last four digits of SSN?, ज़रूर। मैं इसमें आपकी जरूर मदद करूंगा। क्या आप कृपया मुझे अपने नाम और एसएसएन के अंतिम चार अंकों के साथ मदद कर सकते हैं?,3,0
That is awesome. Thanks for the update Jesse., यह बहुत अच्छा है। अद्यतन जेसी के लिए धन्यवाद।,3,2
Perfect! May I know your name please?, उत्तम! क्या मैं आपका नाम जान सकता हूँ?,3,2
"You're welcome. May I confirm if all your questions have been answered for today?  
", आपका स्वागत है। क्या मैं पुष्टि कर सकता हूँ कि क्या आज के लिए आपके सभी प्रश्नों का उत्तर दे दिया गया है?,3,2
