ENG_utterances,HIN_utterances,politeness,sentiment
Sure. Would there be anything else that I could help you with?, ज़रूर। क्या कुछ और होगा जिसमें मैं आपकी मदद कर सकूं?,2,0
Of course! I'd be glad to help you in this regard. Could you please help me with the city you live in and it's zip code?, बेशक! मुझे इस संबंध में आपकी मदद करने में खुशी होगी। क्या आप कृपया मुझे उस शहर और उसके ज़िप कोड के बारे में बता सकते हैं जिसमें आप रहते हैं?,3,0
"You're Welcome! Have a great day, hope to assist you again. Goodbye!"," आपका स्वागत है! आपका दिन शुभ हो, आशा है कि आप फिर से मदद करेंगे। अलविदा!",3,2
hi, नमस्ते,2,0
NEW YORK CITY, न्यूयॉर्क शहर,0,0
Thank you for contacting us. I hope you have a great day ahead. Bye!, हमसे संपर्क करने के लिए धन्यवाद। मुझे आशा है कि आपके लिए आगे एक अच्छा दिन होगा। अलविदा!,3,2
my city name is newyork and zip cone is 5087., मेरे शहर का नाम न्यूयॉर्क है और ज़िप कोन 5087 है।,1,0
hai, हाय,2,0
Hello! Good morning! Welcome to media cable services. How may I help you today?, नमस्ते! सुबह बख़ैर! मीडिया केबल सेवाओं में आपका स्वागत है। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,0
ok, ठीक है,2,0
i want to sing up to a new cable plan, मैं एक नए केबल प्लान के लिए गाना चाहता हूं,1,2
i want to purchase the new cable service in internet, मैं इंटरनेट में नई केबल सेवा खरीदना चाहता हूं,1,0
Fantastic! I have forwarded your subscription request for the 10 GB cable data plan. You will be receiving a confirmation message regarding the same within 24 hours. We hope you enjoy our service. Will there be anything else I could help you with?, ज़बरदस्त! मैंने 10 जीबी केबल डेटा प्लान के लिए आपका सब्सक्रिप्शन अनुरोध अग्रेषित कर दिया है। आपको 24 घंटे के भीतर उसी के संबंध में एक पुष्टिकरण संदेश प्राप्त होगा। हमें उम्मीद है कि आप हमारी सेवा का आनंद लेंगे। क्या कुछ और होगा जिसमें मैं आपकी मदद कर सकूं?,3,2
hi, नमस्ते,2,0
