ENG_utterances,HIN_utterances,politeness,sentiment
Superb! Could you please provide your phone number and the address for delivery?, शानदार! क्या आप कृपया अपना फोन नंबर और डिलीवरी के लिए पता प्रदान कर सकते हैं?,3,2
hi, नमस्ते,2,0
So you want to cancel the pizza!, तो आप पिज़्ज़ा रद्द करना चाहते हैं!,2,1
"Perfect! Sure, I've confirmed the order. The delivery time is approximately 45 minutes. The delivery executive will call you on the number provided in case of any queries. Please tender exact change to the executive. "," उत्तम! ज़रूर, मैंने आदेश की पुष्टि कर दी है। प्रसव का समय लगभग 45 मिनट है। किसी भी प्रश्न के मामले में डिलीवरी एक्जीक्यूटिव आपको दिए गए नंबर पर कॉल करेगा। कृपया कार्यपालिका को सटीक परिवर्तन की निविदा दें।",3,2
yes, हां,2,0
may i know the price?, क्या मैं कीमत जान सकता हूँ?,2,0
"I would like to order 2 Bacon Smokehouse Buttermilk Crispy Chicken, 1 Chocolate Shake and 1 sprite"," मैं 2 बेकन स्मोकहाउस बटरमिल्क क्रिस्पी चिकन, 1 चॉकलेट शेक और 1 स्प्राइट ऑर्डर करना चाहूंगा",3,0
NO - 63 RED ROAD CA - 12, सं - 63 रेड रोड सीए - 12,1,0
HII, HII,2,0
9710154878 & NO:25 HADDOWS HOUSE ROAD  BRIDGE TOWN AL 45258, 9710154878 और संख्या:25 हैडौस हाउस रोड ब्रिज टाउन अल 45258,1,0
COD, सीओडी,0,0
My pleasure. Thank you for calling Blaze Pizza! Have a great day!, मेरा सौभाग्य। ब्लेज़ पिज़्ज़ा को कॉल करने के लिए धन्यवाद! आपका दिन अच्छा रहे!,3,2
"May I  also know, if the payment is COD or online?", क्या मैं यह भी जान सकता हूं कि भुगतान सीओडी है या ऑनलाइन?,2,0
sea salt cookie -1, समुद्री नमक कुकी -1,2,0
yes 4 sodas please, हाँ 4 सोडा कृपया,3,0
Perfect! Will you be paying online or cash on delivery?, उत्तम! क्या आप ऑनलाइन भुगतान करेंगे या डिलीवरी पर नकद?,3,2
with more of garlic, अधिक लहसुन के साथ,0,0
"Okay! I'd request you please keep the amount ready, Could you please share your address and contact number?","ठीक! मैं आपसे अनुरोध करता हूं कि कृपया राशि तैयार रखें, क्या आप कृपया अपना पता और संपर्क नंबर साझा कर सकते हैं?",3,0
Cod, सीओडी,0,0
Awesome! We have some delicious Pizza's! Would you like  to build your own Pizza or order our signature Pizza's?, बहुत बढ़िया! हमारे पास कुछ स्वादिष्ट पिज्जा हैं! क्या आप अपना खुद का पिज़्ज़ा बनाना चाहते हैं या हमारे सिग्नेचर पिज़्ज़ा ऑर्डर करना चाहते हैं?,3,2
red onion, लाल प्याज,0,0
And the contact number?, और संपर्क नंबर?,0,0
Hai, हाई,2,0
Perfect! Would you like to have some drinks with the Muffin?, उत्तम! क्या आप मफिन के साथ कुछ पेय पीना चाहेंगे?,3,2
yes, हां,2,0
Okay. The order is confirmed. The delivery time is approximately 1 hour. The delivery agent will contact you in case of any queries., ठीक। आदेश की पुष्टि की जाती है। प्रसव का समय लगभग 1 घंटा है। किसी भी प्रश्न के मामले में डिलीवरी एजेंट आपसे संपर्क करेगा।,1,0
no, नहीं,1,1
YES I NEED 1 TEA AND 1 SODA, हाँ मुझे 1 चाय और 1 सोडा चाहिए,2,0
OK THANKS BYE, ठीक है धन्यवाद अलविदा,3,2
"227 Randall Mill Ave. Brooklyn, NY 11214."," 227 रान्डेल मिल एवेन्यू। ब्रुकलिन, एनवाई 11214।",2,0
hi, नमस्ते,2,0
"Great! Could you please tell me the size of your pizza- large, medium or small?"," महान! क्या आप कृपया मुझे अपने पिज्जा का आकार बता सकते हैं- बड़ा, मध्यम या छोटा?",3,2
yes, हां,2,0
Thank you so much for Choosing Blaze Pizza. Have a great day!, ब्लेज़ पिज़्ज़ा चुनने के लिए आपका बहुत-बहुत धन्यवाद। आपका दिन अच्छा रहे!,3,2
Sure! Do you want some extra cheese on your pizza?, ज़रूर! क्या आप अपने पिज्जा पर कुछ अतिरिक्त पनीर चाहते हैं?,2,0
Bacon Ranch Salad with Buttermilk Crispy Chicken, बटरमिल्क क्रिस्पी चिकन के साथ बेकन रेंच सलाद,2,0
