ENG_utterances,HIN_utterances,politeness,sentiment
Yes i got answer..Thanks for your information!, हाँ मुझे उत्तर मिल गया..आपकी जानकारी के लिए धन्यवाद!,3,0
as4578683953, एएस4578683953,0,0
have a great day, आपका दिन शानदार गुजरे,2,2
Hey! A very good morning to you. How may I help you today?, अरे! आपके लिए एक बहुत ही शुभ प्रभात। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,2
Hey! How may I help you today?, अरे! आज मैं आपकी कैसे मदद कर सकता हूँ?,3,0
I'm here!, मैं यहाँ हुं!,2,0
"Awesome! Also, may I please know the last four digits of your account number??"," बहुत बढ़िया! साथ ही, क्या मैं कृपया आपके खाता संख्या के अंतिम चार अंक जान सकता हूँ ??",3,2
Nothing else, और कुछ नहीं,2,0
"Hi, I wants to change my address of credit card ?"," नमस्ते, मैं क्रेडिट कार्ड का अपना पता बदलना चाहता हूं?",3,0
Thank you very much, आपका बहुत बहुत धन्यवाद,3,2
Could you please tell me what order you're referring to?, क्या आप कृपया मुझे बता सकते हैं कि आप किस आदेश का जिक्र कर रहे हैं?,3,0
"Awesome! Thank you for all the information, please stay connected, while I do the needful. "," बहुत बढ़िया! सभी जानकारी के लिए धन्यवाद, कृपया जुड़े रहें, जबकि मैं आवश्यक कार्य करता हूं।",3,2
HII, HII,2,0
Sure! Could you please help me out with your full name?, ज़रूर! क्या आप कृपया अपने पूरे नाम के साथ मेरी मदद कर सकते हैं?,3,0
Hey! A very good morning to you. How may I help you today?, अरे! आपके लिए एक बहुत ही शुभ प्रभात। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,2
HOW TO REMOVE, कैसे हटाएं,0,0
thank you, धन्यवाद,2,2
I WANT TO TRANSFER MONEY, मैं पैसे ट्रांसफर करना चाहता हूं,1,1
3425,3425,0,0
23rd june 2018, 23 जून 2018,0,0
HI, नमस्ते,2,0
3459,3459,0,0
Could you please help me out with your new address for me to update in the portal?, क्या आप मुझे पोर्टल में अपडेट करने के लिए अपने नए पते के साथ मेरी मदद कर सकते हैं?,3,0
"Hello, how may I help you today?"," हैलो, मैं आज आपकी कैसे मदद कर सकता हूं?",3,0
so block the card, इसलिए कार्ड को ब्लॉक करें,0,0
Thank you for the information. I see that you have $5000 in your account. Let me know if you have any other queries.,जानकारी के लिए धन्यवाद। मैं देख रहा हूँ कि आपके खाते में $5000 हैं। यदि आपके कोई अन्य प्रश्न हैं तो मुझे बताएं।,3,0
"I don’t mean to rush you. However, I just want to check if we’re still connected?"," मेरा मतलब आपको जल्दी करना नहीं है। हालांकि, मैं सिर्फ यह जांचना चाहता हूं कि क्या हम अभी भी जुड़े हुए हैं?",3,0
Hey! A very good morning to you. How may I help you today?, अरे! आपके लिए एक बहुत ही शुभ प्रभात। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,2
I hope we are connected!, मुझे आशा है कि हम जुड़े हुए हैं!,2,0
I LOST MY CREDIT CARD, मैंने अपना क्रेडिट कार्ड खो दिया,0,1
and the name please?, और नाम कृपया?,2,0
hi, नमस्ते,2,0
i want close my account, मुझे अपना खाता बंद करना है,2,1
Perfect! Is there anything I could assist you with?, उत्तम! क्या कोई ऐसी चीज है जिसमें मैं आपकी सहायता कर सकता हूं?,3,2
"Thank you, I really appreciate your help"," धन्यवाद, मैं वास्तव में आपकी मदद की सराहना करता हूं",3,2
"Hello, how may I help you today?"," हैलो, मैं आज आपकी कैसे मदद कर सकता हूं?",3,0
from my account 7399 to 8388 amount of $500, मेरे खाते से 7399 से 8388 तक की राशि $500,0,0
"No, from account number 3456789 to 7768"," नहीं, खाता संख्या 3456789 से 7768",1,0
"Thank you Sam, have a great day ."," धन्यवाद सैम, आपका दिन शुभ हो।",3,2
Are you connected?, क्या आप जुड़े हुए हैं?,0,0
"Hey there, how may I help you today?"," अरे वहाँ, मैं आज आपकी कैसे मदद कर सकता हूँ?",3,0
"No ...You done very quickly ...Thanks
", नहीं...आपने बहुत जल्दी किया...धन्यवाद,3,2
Thank you for your time and patience Charles. We are glad to be able to assist you. You have a great day., आपके समय और धैर्य के लिए धन्यवाद चार्ल्स। हमें आपकी सहायता करने में सक्षम होने में प्रसन्नता हो रही है। आपका दिन बहुत बढ़िया हो।,3,2
06/17/2018..Time 15:17, 06/17/2018..समय 15:17,0,0
GUD MRNG SAM, गुड मृंग सैम,2,0
Please transfer money to another account, कृपया दूसरे खाते में पैसे ट्रांसफर करें,2,0
Perfect! Please could you help me with the new address?, उत्तम! कृपया क्या आप मुझे नए पते में मदद कर सकते हैं?,3,2
"I appreciate you bringing this to our attention, so that we can deal with this immediately. Could you please let me know your name, last 4 digits of SSN and credit card number?","इस बात को हमारे ध्यान में लाने के लिए मैं आपकी सराहना करता हूं, ताकि हम इससे तुरंत निपट सकें। क्या आप कृपया मुझे अपना नाम, एसएसएन के अंतिम 4 अंक और क्रेडिट कार्ड नंबर बता सकते हैं?",3,2
12-Jun-18,12-Jun-18,0,0
Thank you Daniel for the details. Please give me a minute to proceed further., विवरण के लिए धन्यवाद डैनियल। कृपया मुझे आगे बढ़ने के लिए एक मिनट दें।,3,2
krishnan, कृष्णन,0,0
BYE, अलविदा,2,0
"Please help me with the last four digits of the account number you would like the amount to be transferred to.
", कृपया उस खाता संख्या के अंतिम चार अंकों के बारे में मेरी सहायता करें जिसमें आप राशि हस्तांतरित करना चाहते हैं।,3,0
The last four digits for the account is 1234, खाते के अंतिम चार अंक 1234 . हैं,0,0
thanks.., धन्यवाद..,3,2
Let me know company's new lower rates, मुझे कंपनी की नई कम दरों के बारे में बताएं,2,0
hi, नमस्ते,2,0
Always a pleasure assisting a valuable customer like you. Have a great day ahead. Looking forward to seeing you soon., आप जैसे मूल्यवान ग्राहक की सहायता करने में हमेशा खुशी होती है। आगे एक महान दिन हो। जल्द ही आपको देखने की इच्छा है।,3,2
thank you for your help, आपके सहयोग के लिए धन्यवाद,3,2
"Hello, it seems that you are away. I will have to close the chat for now. If you still need my help, you can request a chat again.
"," नमस्ते, ऐसा लगता है कि आप दूर हैं। मुझे अभी के लिए चैट बंद करनी होगी। अगर आपको अभी भी मेरी मदद की ज़रूरत है, तो आप फिर से चैट का अनुरोध कर सकते हैं।",3,0
spencer., स्पेंसर,0,0
Nothing else, और कुछ नहीं,2,0
You're welcome! Is there anything else I may assist you with?, आपका स्वागत है! क्या कुछ और है जिसमें मैं आपकी सहायता कर सकता हूं?,2,2
WHAT ARE THE DETAILS YOU NEED, आपको क्या विवरण चाहिए,1,0
"Okay, would you please help me with the date, time and amount of the charge?
"," ठीक है, क्या आप कृपया शुल्क की तारीख, समय और राशि के बारे में मेरी मदद करेंगे?",3,0
thanks for your valuable service,आपकी बहुमूल्य सेवा के लिए धन्यवाद,3,2
You're welcome! Is there anything else I may assist you with?, आपका स्वागत है! क्या कुछ और है जिसमें मैं आपकी सहायता कर सकता हूं?,2,2
The last 4 digits of SSN is 5221, SSN के अंतिम 4 अंक 5221 . होते हैं,0,0
3969,3969,0,0
May I also know the last 4 digits of account to which you’d like to transfer?, क्या मैं उस खाते के अंतिम 4 अंक भी जान सकता हूँ जिसमें आप स्थानांतरित करना चाहते हैं?,3,0
Perfect! I'll help you on this., उत्तम! मैं इसमें आपकी मदद करूंगा।,3,2
Let me know company's new lower rates, मुझे कंपनी की नई कम दरों के बारे में बताएं,2,0
I want to change my address on my account, मैं अपने खाते पर अपना पता बदलना चाहता हूं,2,0
hii, हायि,2,0
bye., अलविदा।,2,0
"Awesome. I have done the needful. The amount has been successfully transferred.
", बहुत बढ़िया। मैंने जरूरी काम किया है। राशि सफलतापूर्वक स्थानांतरित कर दी गई है।,3,2
