ENG_utterances,HIN_utterances,politeness,sentiment
Please gohead,प्लीज़ गोहेड,2,0
Okay,ठीक,2,2
ok,ठीक है,2,0
"Fantastic! Here's your seat number K17 which is a aisle seat, Is that okay for you?"," ज़बरदस्त! ये रहा आपका सीट नंबर K17, जो कि गलियारे की सीट है, क्या यह आपके लिए ठीक है?",2,2
hai,हाय,2,0
NOTHING ELSE,और कुछ नहीं,2,0
Thanks Martin! May I please know the booking confirmation number?,धन्यवाद मार्टिन! क्या मैं कृपया बुकिंग पुष्टिकरण संख्या जान सकता हूँ?,3,2
"Perfect! Lastly, may I please know your email address to which you'd like me to send the boarding pass?"," उत्तम! अंत में, क्या मैं आपका ईमेल पता जान सकता हूँ जिस पर आप मुझे बोर्डिंग पास भेजना चाहते हैं?",3,0
NUMBER - TSP450,संख्या - टीएसपी450,0,0
Hello Madhu! May I know your departure and the arrival city please?,नमस्ते मधु! क्या मैं आपका प्रस्थान और आगमन का शहर जान सकता हूँ?,3,0
Glad to help you. Please go through this website: www.pilotairlines.com in case of any query and help us help you. Good day!,आपकी मदद करके प्रसन्नता हुई। कृपया इस वेबसाइट को देखें: www.pilotairlines.com किसी भी प्रश्न के मामले में और आपकी सहायता करने में हमारी सहायता करें। अच्छा दिन!,3,2
OK,ठीक है,2,0
i need boarding pass,मुझे बोर्डिंग पास चाहिए,1,0
i wants to book a flight,मैं एक उड़ान बुक करना चाहता हूँ,1,0
"Awesome! Thanks for reaching out to us, hope you have a wonderful trip ahead. "," बहुत बढ़िया! हमसे संपर्क करने के लिए धन्यवाद, आशा है कि आपकी आगे की यात्रा शानदार रही होगी।",3,2
YES,हां,2,2
hi,नमस्ते,2,0
Glad to help you today. Please go through this website: www.pilotairlines.com in case of any query and help us help you. Good day!,आज आपकी मदद करके खुशी हुई। कृपया इस वेबसाइट को देखें: www.pilotairlines.com किसी भी प्रश्न के मामले में और आपकी सहायता करने में हमारी सहायता करें। अच्छा दिन!,3,2
"Hello! You've been connected to StarAirways customer service! I'll provide you with the boarding pass, could you help me out with your full name and the booking confirmation number? ","नमस्ते! आप StarAirways ग्राहक सेवा से जुड़ चुके हैं! मैं आपको बोर्डिंग पास प्रदान करूंगा, क्या आप अपना पूरा नाम और बुकिंग पुष्टिकरण संख्या प्रदान करने में मेरी सहायता कर सकते हैं?",3,0
Would there be anything else I may assist you with?,क्या कुछ और होगा जिसमें मैं आपकी सहायता कर सकूं?,2,0
yup,हां,0,0
"Good news! I've sent you an email attaching your boarding pass, you can download it. I hope this is useful?"," खुशखबरी! मैंने आपको आपका बोर्डिंग पास संलग्न करते हुए एक ईमेल भेजा है, आप इसे डाउनलोड कर सकते हैं। मैं उम्मीद करता हूँ यह उपयोगी है?",3,2
elango@gmail.com,elango@gmail.com,0,0
check my seat assignment,मेरी सीट असाइनमेंट की जाँच करें,2,0
i want to book two seats,मैं दो सीटें बुक करना चाहता हूं,1,2
Hello there! A Very Good morning! Welcome to Moon way airline service! How may I help you with?,नमस्ते! एक बहुत ही शुभ प्रभात! मून वे एयरलाइन सेवा में आपका स्वागत है! मैं आपकी कैसे मदद कर सकता हूँ?,3,2
"Good morning! You've reached Alliance Airways Customer service, how may I help you?  "," सुबह बख़ैर! आप एलायंस एयरवेज ग्राहक सेवा तक पहुँच चुके हैं, मैं आपकी कैसे मदद कर सकता हूँ?",3,0
4 DAYS,चार दिन,0,0
Great! Please allow me a moment to check the details and I'll let you know.,महान! कृपया मुझे विवरण देखने के लिए कुछ समय दें और मैं आपको बता दूंगा।,3,2
check my seat,मेरी सीट चेक करो,2,0
Hello! Welcome to Air USA! How may I know your name?,नमस्ते! एयर यूएसए में आपका स्वागत है! मैं आपका नाम कैसे जान सकता हूँ?,3,0
NOTHING ELSE,और कुछ नहीं,2,0
BUSINESS,व्यापार,0,0
OK,ठीक है,2,0
i wants to book a flight,मैं एक उड़ान बुक करना चाहता हूँ,1,0
no thanks," जी नहीं, धन्यवाद",3,1
Of course! Seat number B6 is an aisle seat and it is available. Would you like to take that?,बेशक! सीट संख्या B6 एक गलियारा सीट है और यह उपलब्ध है। क्या आप इसे लेना चाहेंगे?,3,0
100023,100023,0,0
