ENG_utterances,HIN_utterances,politeness,sentiment
okay, ठीक है,2,0
"Sure, could you also attach a copy of the receipt?"," ज़रूर, क्या आप रसीद की एक प्रति भी संलग्न कर सकते हैं?",3,0
Alright! May I know your managers name who has approved this transaction?, ठीक है! क्या मैं आपके प्रबंधकों का नाम जान सकता हूँ जिन्होंने इस लेन-देन को मंजूरी दी है?,2,0
prathi, पृथ्वी,2,0
Amazing! Could you please let me know the name of your manager?, अद्भुत! क्या आप कृपया मुझे अपने प्रबंधक का नाम बता सकते हैं?,3,2
I highly appreciate your patience. I'd like to inform you that I've successfully processed your reimbursement amount and I'd like to inform you that it will take 2 business days for the amount to be reflected in your account., मैं आपके धैर्य की अत्यधिक सराहना करता हूं। मैं आपको सूचित करना चाहता हूं कि मैंने आपकी प्रतिपूर्ति राशि को सफलतापूर्वक संसाधित कर लिया है और मैं आपको सूचित करना चाहता हूं कि आपके खाते में राशि दिखाई देने में 2 कार्यदिवस लगेंगे।,3,2
"You're Welcome! Have a great day, hope to assist you again. Goodbye!"," आपका स्वागत है! आपका दिन शुभ हो, आशा है कि आप फिर से मदद करेंगे। अलविदा!",3,2
"Nothing, Have a great day."," कुछ नहीं, आपका दिन शुभ हो।",2,2
Perfect! I've placed the order and it will be delivered in 2-3 business days. Would that be all?, उत्तम! मैंने ऑर्डर दे दिया है और इसे 2-3 कार्यदिवसों में डिलीवर कर दिया जाएगा। क्या वह सब होगा?,3,2
Awesome! I'm glad about it. Please feel free to contact us at 4938642875 in case of any issue. Have a nice day!, बहुत बढ़िया! मैं इससे खुश हूं। किसी भी प्रकार की समस्या होने पर कृपया हमसे 4938642875 पर संपर्क करें। आपका दिन शुभ हो!,3,2
I'll surely help you with this. May I know your name and last four digits of account number please?, मैं इसमें आपकी मदद जरूर करूंगा। क्या मैं आपका नाम और खाता संख्या के अंतिम चार अंक जान सकता हूँ?,3,0
Sure thing! There may be certain server issues at times. Please don't worry. I'll resolve the same for you within 10 minutes.,अवश्य! कभी-कभी कुछ सर्वर समस्याएँ हो सकती हैं। आप चिंता न करें। मैं आपके लिए इसे 10 मिनट के भीतर हल कर दूंगा।,3,2
"okay sir,thank you"," ठीक है सर, धन्यवाद",3,2
"Hello! Welcome to Global Software enterprises, how may I assist you for today?"," नमस्ते! वैश्विक सॉफ्टवेयर उद्यमों में आपका स्वागत है, मैं आज के लिए आपकी कैसे सहायता कर सकता हूं?",3,0
Thank you for sharing your details. Could you please share the total amount that would you like to be refunded?, अपना विवरण साझा करने के लिए धन्यवाद। क्या आप कृपया उस कुल राशि को साझा कर सकते हैं जिसे आप वापस करना चाहते हैं?,3,0
PASSWORD-20149395, पासवर्ड-20149395,0,0
I highly appreciate your patience. I'd like to inform you that I've successfully processed your amount which will be reflected in your account in the next 2 business days., मैं आपके धैर्य की अत्यधिक सराहना करता हूं। मैं आपको सूचित करना चाहता हूं कि मैंने आपकी राशि को सफलतापूर्वक संसाधित कर लिया है जो अगले 2 व्यावसायिक दिनों में आपके खाते में दिखाई देगी।,3,2
How may I help you today?, आज मैं आपकी कैसे मदद कर सकता हूँ?,2,0
Good morning! You've been connected to Chan Software Company. How may I help you?, सुबह बख़ैर! आप चैन सॉफ्टवेयर कंपनी से जुड़े हुए हैं। क्या मेरे द्वारा आपकी कोई सहायता हो सकती है?,3,0
ok thanks, ठीक है धन्यवाद,3,0
"No that is all I need, Thank you very much for your help."," नहीं, मुझे बस इतना ही चाहिए, आपकी मदद के लिए बहुत-बहुत धन्यवाद।",3,2
I apologize! Could you please be specific with your query?, मैं क्षमाप्रार्थी हूं! क्या आप कृपया अपनी क्वेरी के साथ विशिष्ट हो सकते हैं?,3,0
"Awesome! Would you need anything else I could help you with?
", बहुत बढ़िया! क्या आपको किसी और चीज की आवश्यकता होगी जिसमें मैं आपकी मदद कर सकूं?,3,2
ok sir i am restart my system, ओके सर मैं अपना सिस्टम रीस्टार्ट कर रहा हूँ,2,0
You're welcome! Would there be anything else I may assist you with?, आपका स्वागत है! क्या कुछ और होगा जिसमें मैं आपकी सहायता कर सकूं?,3,2
Thank you! Now could you let me know the number of keyboards you would like to purchase?,आपको धन्यवाद! अब क्या आप मुझे बता सकते हैं कि आप कितने कीबोर्ड खरीदना चाहते हैं?,3,0
Superb! Could you please help me with the number of the musical keyboards that you would like to place your order for?, शानदार! क्या आप कृपया मुझे उन संगीत कीबोर्डों की संख्या में मदद कर सकते हैं जिनके लिए आप अपना ऑर्डर देना चाहते हैं?,3,2
100$, 100$,0,0
"I highly appreciate your patience. I'd like to inform you that you were facing issues with the application because it was not updated to the latest version of Outlook 2.01.02 but no worries, as I've the updated the application for you. Hence, I kindly request you to close the application and open it and let me know if the issue has been resolved? "," मैं आपके धैर्य की अत्यधिक सराहना करता हूं। मैं आपको सूचित करना चाहता हूं कि आप एप्लिकेशन के साथ समस्याओं का सामना कर रहे थे क्योंकि यह आउटलुक 2.01.02 के नवीनतम संस्करण में अपडेट नहीं किया गया था, लेकिन कोई चिंता नहीं है, क्योंकि मैंने आपके लिए एप्लिकेशन को अपडेट कर दिया है। इसलिए, मैं आपसे अनुरोध करता हूं कि आप आवेदन को बंद करें और इसे खोलें और मुझे बताएं कि क्या समस्या का समाधान हो गया है?",3,2
Perfect! How many do you need?, उत्तम! आपको कितने की आवश्यकता है?,2,2
"Thank you for sharing the details. Could you please let me know the cost of the expenses, so that I can update that for you?"," विवरण साझा करने के लिए धन्यवाद। क्या आप कृपया मुझे खर्चों की लागत बता सकते हैं, ताकि मैं इसे आपके लिए अपडेट कर सकूं?",3,0
Thank you! Now could you please help me with the model name of the keyboard you would like to purchase?, आपको धन्यवाद! अब क्या आप कृपया मुझे उस कीबोर्ड के मॉडल नाम में मदद कर सकते हैं जिसे आप खरीदना चाहते हैं?,3,0
problem solved, समस्या हल हो गई,0,2
i need piano, मुझे पियानो चाहिए,1,0
Perfect! May I know the musical instrument and the model of instrument you'd like to purchase?, उत्तम! क्या मैं उस वाद्य यंत्र और वाद्य के मॉडल को जान सकता हूँ जिसे आप खरीदना चाहते हैं?,3,0
Alright! It seems that you are using an old version of software however I would like you to reinstall the same to update and get a faster version of the application.,"ठीक है! ऐसा लगता है कि आप सॉफ़्टवेयर के पुराने संस्करण का उपयोग कर रहे हैं, हालांकि मैं चाहता हूं कि आप इसे अपडेट करने और एप्लिकेशन का तेज़ संस्करण प्राप्त करने के लिए इसे फिर से इंस्टॉल करें।",3,0
i like to add my travel expenses, मुझे अपने यात्रा व्यय जोड़ना पसंद है,3,0
"Hope you have reinstalled the application, could you please let me know if you're able to open it? "," आशा है कि आपने एप्लिकेशन को पुनः इंस्टॉल कर लिया है, क्या आप कृपया मुझे बता सकते हैं कि क्या आप इसे खोलने में सक्षम हैं?",3,0
yes sir.. i will check the process, हाँ महोदय .. मैं प्रक्रिया की जाँच करूँगा,2,0
Should I confirm that your issue has been resolved?, क्या मुझे इस बात की पुष्टि करनी चाहिए कि आपकी समस्या का समाधान कर दिया गया है?,1,0
i want to report for the travel expenses.., मैं यात्रा व्यय के लिए रिपोर्ट करना चाहता हूं ..,1,1
Not to worry. May I know your name and the last four digits of your account number please?, कोइ चिंता नहीं। क्या मैं आपका नाम और आपकी खाता संख्या के अंतिम चार अंक जान सकता हूँ?,3,0
Hello! Thank you for connecting to AIM Financial services. How may I assist you?, नमस्ते! एआईएम वित्तीय सेवाओं से जुड़ने के लिए धन्यवाद। मैं आपकी कैसे सहायता कर सकता हूँ?,3,0
thats all, बस इतना ही,1,0
i use outlook i need software updates, मैं आउटलुक का उपयोग करता हूं मुझे सॉफ्टवेयर अपडेट चाहिए,2,0
Perfect! Thank you for sharing the details. Could you please help me with a specific model of the musical keyboards that you are looking for?', उत्तम! विवरण साझा करने के लिए धन्यवाद। क्या आप संगीत कीबोर्ड के विशिष्ट मॉडल के बारे में मेरी मदद कर सकते हैं जिसे आप ढूंढ रहे हैं?',3,2
"Awesome! Thank you for reaching out to us, hope you'll have a great day ahead! "," बहुत बढ़िया! हमसे संपर्क करने के लिए धन्यवाद, आशा है कि आगे आपका दिन बहुत अच्छा रहेगा!",3,2
Hello there! Good morning and welcome to Kuber financial services. How may I help you today?,नमस्ते! सुप्रभात और कुबेर वित्तीय सेवाओं में आपका स्वागत है। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,0
"Hi there! You're talking to the customer service agent for Finance. How may I help you today?
", नमस्ते! आप वित्त के लिए ग्राहक सेवा एजेंट से बात कर रहे हैं। आज मैं आपकी कैसे मदद कर सकता हूँ?,3,0
WHEN I TRY TO LOGIN MY ACCOUNT IT SHOWS ME A ERROR, जब मैं अपना खाता लॉगिन करने का प्रयास करता हूं तो यह मुझे एक त्रुटि दिखाता है,0,1
no, नहीं,1,1
"Alright! Have a great day, Goodbye!"," ठीक है! आपका दिन शुभ हो, अलविदा!",3,2
My pleasure. How else can I help you?, मेरा सौभाग्य। मैं आपकी और कैसे मदद कर सकता हूं?,2,2
Great! I've resolved this for you. Please check and let me know., महान! मैंने इसे आपके लिए हल कर लिया है। कृपया परखें और मुझे बताएं।,3,2
account number alt7896, खाता संख्या alt7896,0,0
i need 50no\$ of musical instrument, मुझे संगीत वाद्ययंत्र के 50no\$ की आवश्यकता है,1,0
"Thank you for staying connected with Yuan financial services. For any query, feel free to call us anytime on our toll free number: 1200-3443-400. We are always here at your service!"," युआन वित्तीय सेवाओं से जुड़े रहने के लिए धन्यवाद। किसी भी प्रश्न के लिए, हमें किसी भी समय हमारे टोल फ्री नंबर: 1200-3443-400 पर कॉल करने में संकोच न करें। हम हमेशा आपकी सेवा में हैं!",3,2
$400, $400,0,0
"Hello! Good morning, You're connected to finance department of ATA. How may I help you today?"," नमस्ते! सुप्रभात, आप एटीए के वित्त विभाग से जुड़े हैं। आज मैं आपकी कैसे मदद कर सकता हूँ?",3,0
"Sure, I'll be able to help you. Could you share your name and password with me?"," ज़रूर, मैं आपकी मदद कर सकूँगा। क्या आप अपना नाम और पासवर्ड मेरे साथ साझा कर सकते हैं?",3,0
ok, ठीक है,2,0
hai sir, है सर,2,0
Thanks for your job, आपके काम के लिए धन्यवाद,3,2
no problem ok thanks for giving asitantance, कोई बात नहीं ठीक है असिटेंटेंस देने के लिए धन्यवाद,3,2
Alright! Please go ahead with your query?,ठीक है! कृपया अपनी क्वेरी के साथ आगे बढ़ें?,2,0
WHICH TYPE INFORMATION YOU PROVIDE, आप किस प्रकार की जानकारी प्रदान करते हैं,2,0
Awesome! May I know the total amount you've incurred?, बहुत बढ़िया! क्या मुझे आपके द्वारा खर्च की गई कुल राशि का पता चल सकता है?,3,1
"Hello! Good morning, You're connected to Bang-Bang music center. How may I help you today?"," नमस्ते! सुप्रभात, आप बैंग-बैंग संगीत केंद्र से जुड़े हुए हैं। आज मैं आपकी कैसे मदद कर सकता हूँ?",3,0
i want to update my outlook to the latest version /, मैं अपने दृष्टिकोण को नवीनतम संस्करण में अपडेट करना चाहता/चाहती हूं /,2,0
1200,1200,0,0
All right! I'll surely help you with that. Could you please help me with your name and the password?, ठीक है! मैं इसमें आपकी जरूर मदद करूंगा। क्या आप कृपया अपने नाम और पासवर्ड के साथ मेरी मदद कर सकते हैं?,3,0
No perfect thanks for the help., मदद के लिए कोई सही धन्यवाद नहीं।,3,1
Company name is World Tech and password is 2317, कंपनी का नाम वर्ल्ड टेक है और पासवर्ड 2317 . है,0,0
Ok sure..., यकीनन ठीक...,2,0
billa 08, बिल्ला 08,0,0
"Sir, I am working at compnay. My Outlook software is not working."," महोदय, मैं कंपनी में काम कर रहा हूँ। मेरा आउटलुक सॉफ्टवेयर काम नहीं कर रहा है।",2,0
