dialogueId,utteranceNo,authorRole,ENG_utterances,HIN_utterances,politeness,sentiment
PMUL2158.json,0,user,I am looking for a attraction called whipple museum of the history of science.,मैं विज्ञान के इतिहास के व्हिपल संग्रहालय नामक आकर्षण की तलाश में हूं।,3,0
PMUL2158.json,1,agent,That museum is in the centre of town on free school lane. Is there other information you are looking for?,वह संग्रहालय शहर के मध्य में फ्री स्कूल लेन पर है। क्या कोई अन्य जानकारी है जिसकी आप तलाश कर रहे हैं?,3,0
PMUL2158.json,2,user,How much is admission?,एडमिशन कितने का है?,3,0
PMUL2158.json,3,agent,They offer free admission. Is there any other information I can provide for you?,वे मुफ्त प्रवेश प्रदान करते हैं। क्या कोई अन्य जानकारी है जो मैं आपको प्रदान कर सकता हूं?,3,0
PMUL2158.json,4,user,"Yes, find me a cheap place to eat in the center"," हां, बीच में मुझे खाने के लिए सस्ती जगह ढूंढो",3,0
PMUL2158.json,5,agent,What type of food are you interested in eating?,आप किस प्रकार के भोजन में रुचि रखते हैं?,3,0
PMUL2158.json,6,user,"I am interested in Italian food.  However I just remembered, I need the phone number for Whipple Museum of History and Science please.","मुझे इटैलियन खाने में दिलचस्पी है। हालाँकि मुझे अभी याद आया, मुझे व्हिपल म्यूज़ियम ऑफ़ हिस्ट्री एंड साइंस के लिए फ़ोन नंबर चाहिए।",3,1
PMUL2158.json,7,agent,Their phone number is 01223330906.,इनका फोन नंबर 01223330906 है।,3,0
PMUL2158.json,8,user,There are a couple Italian restaurants in the area ranging from moderate to expensive. Would you like me to look them up for you and make a reservation?,इस क्षेत्र में मध्यम से लेकर महंगे तक के कुछ इतालवी रेस्तरां हैं। क्या आप चाहते हैं कि मैं उन्हें आपके लिए देखूं और आरक्षण करूं?,3,0
PMUL2158.json,9,agent,"Not at this time, could I just have the phone number of an expensive Italian restaurant?"," इस समय नहीं, क्या मेरे पास एक महंगे इतालवी रेस्तरां का फ़ोन नंबर हो सकता है?",3,0
PMUL2158.json,10,user,I need a reservation fo 3 at 16.30,मुझे 16.30 बजे 3 के लिए आरक्षण चाहिए,3,0
PMUL2158.json,11,agent,which day an time do i book?,मैं किस दिन का समय बुक करूँ?,3,0
PMUL2158.json,12,user,Please reserve the restaurant for Saturday at 16:30 for 3 people.,कृपया 3 लोगों के लिए शनिवार को 16:30 बजे रेस्तरां आरक्षित करें।,3,0
PMUL2158.json,13,agent,I have booked a table for you at Clowns Cafe. The table will be reserved for 15 minutes. Your reference number is WYVYSLFF. How else can I help?,मैंने आपके लिए जोकर कैफे में एक टेबल बुक किया है। टेबल 15 मिनट के लिए आरक्षित रहेगी। आपकी संदर्भ संख्या WYVYSLFF है। और किस तरह से सहायता की जा सकती है?,3,2
PMUL2158.json,14,user,I need a taxi to take me from the whipple (whip whoop) to the restaurant.  please make sure the taxi drops off by the reservation time at Clown,मुझे व्हिपल (व्हिप व्हूप) से रेस्तरां तक ले जाने के लिए एक टैक्सी की आवश्यकता है। कृपया सुनिश्चित करें कि क्लाउन में आरक्षण के समय तक टैक्सी बंद हो जाती है,3,0
PMUL2158.json,15,agent,"Booking completed!
Booked car type	:	white toyota
Contact number	:	07915745196
",बुकिंग पूरी! बुक की गई कार का प्रकार: सफेद टोयोटा संपर्क नंबर: 07915745196,3,1
PMUL2158.json,16,user,"That is everything, you were very helpful."," बस इतना ही, आप बहुत मददगार थे।",3,2
PMUL2158.json,17,agent,"Thank you, enjoy your day","धन्यवाद, अपने दिन का आनंद लें",3,2
MUL0623.json,0,user,I need a train leaving friday that will arrive by 16:30,मुझे शुक्रवार को छूटने वाली एक ट्रेन चाहिए जो 16:30 . तक पहुंचेगी,3,0
MUL0623.json,1,agent,"Certainly, there are plenty of options, the train that arrives closest to 16:30 arrives at 14:43. Shall I book it, if so for how many riders?"," निश्चित रूप से, बहुत सारे विकल्प हैं, 16:30 के करीब आने वाली ट्रेन 14:43 पर आती है। क्या मैं इसे बुक करूंगा, यदि हां तो कितने सवारों के लिए?",3,0
MUL0623.json,2,user,Sure book 1 ticket from kings lynn to cambridge,किंग्स लिन से कैम्ब्रिज का 1 टिकट ज़रूर बुक करें,3,0
MUL0623.json,3,agent,"Now that we've specified, we have one that arrives at 14:58, the TR6844. Does this still work?"," अब जबकि हमने निर्दिष्ट कर दिया है, हमारे पास एक है जो 14:58 पर आता है, TR6844। क्या यह अभी भी काम करता है?",3,0
MUL0623.json,4,user,"I need booking for eight people if there is room. If so, book it and send a reference number."," अगर कमरा है तो मुझे आठ लोगों के लिए बुकिंग की जरूरत है। यदि हां, तो इसे बुक करें और एक संदर्भ संख्या भेजें।",3,0
MUL0623.json,5,agent,"Booking was successful, the total fee is 78.4 GBP payable at the station. Reference number is : 59LWLXZ4. Can I help you with anything else?"," बुकिंग सफल रही, स्टेशन पर देय कुल शुल्क 78.4 जीबीपी है। संदर्भ संख्या है: 59LWLXZ4। क्या मैं आपकी कुछ और सहायता कर सकता हूँ?",3,0
